Writing Traktor file to /Users/myanguyen/CHIRP-Radio-Application/chirpradio-machine/output.nml
         248018365 function calls (246574689 primitive calls) in 123.865 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.001    0.001 _strptime.py:173(__init__)
        1    0.000    0.000    0.000    0.000 _specs.py:1(<module>)
     1371    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 unicode_util.py:1(<module>)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
     1156    0.000    0.000    0.000    0.000 sre_parse.py:255(get)
       31    0.000    0.000    0.000    0.000 sre_compile.py:560(_compile_info)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
      256    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.000    0.000 ufid.py:1(<module>)
       85    0.000    0.000    0.000    0.000 sre_compile.py:292(_optimize_charset)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        3    0.000    0.000    0.000    0.000 codecs.py:871(open)
        1    0.000    0.000    0.000    0.000 codecs.py:750(__exit__)
       21    0.000    0.000    0.000    0.000 abc.py:105(__new__)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       19    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
     1490    0.000    0.000    0.000    0.000 sre_parse.py:234(__next)
        1    0.000    0.000    0.000    0.000 order.py:1(<module>)
   256/89    0.000    0.000    0.000    0.000 sre_parse.py:175(getwidth)
      398    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
        1    0.000    0.000    0.000    0.000 request.py:939(AbstractBasicAuthHandler)
